# engineering_entries.tsv — 工学・情報系専門用語 (M5選別出力 + batch2〜12追加)
# 出典: SudachiDict sudachidict-raw v1/20260723 (Apache-2.0): core_lex/small_lex/notcore_lex を
#   名詞/普通名詞に限定し工学モーフィム(回路/素子/軸受/〜反応/〜酸化/〜制御 等)で広域抽出 (batch11)
#   + NEologd mecab-user-dict-seed.20200910 (Apache-2.0): 名詞を工学モーフィムで広域抽出 (batch12)
#   + Mozc OSS dictionary (BSD-3-Clauseほか; 読みの裏付けのみ) + Wikidata P1814 (CC0)
#   + IPAシラバス用語集 (見出しのみ) + ユーザー指定読み (DynamoDBほか)
# 選別: supplemental抜き base converter (presire/AzooKeyKanaKanjiConverter hazkey 0ad0617,
#   同梱 azooKey_dictionary_storage), N_best=30, typoCorrectionMode=.disabled, learningType=.nothing,
#   specialCandidateProviders=[], zenzaiMode=.off, 補正なし単回変換。Evaluate準拠 exact-length フィルタ
#   (連結ruby==照会カタカナ) の上で正表層がN-bestのどこにも出ないものだけ収録(MISS)。出れば非収録(HIT)。
# 形式: reading(カタカナ)<TAB>surface<TAB>pos (pos: proper=1288固有名詞 / org=1292固有名詞組織 / general=1285一般名詞)
# lcid=rcid=選択CID, MID=一般501, score=-15.5 (DicdataStore.threshold -17 を下回らない)
# 制約: 全件カタカナのみ・全文字charID.chid収録・読み長<=20・(reading,surface)重複なし
# 除外記録 (2026-09-25): 全件見直しで工学・情報系の専門用語/名称に当たらない12件を除外
#   (レジャー施設・番組・映画等の娯楽9、人名2、記念日1)。FET の読み「フェット」を1件追加。870件 → 859件
テルルカスイソ	テルル化水素	general
テレメトリシンゴウ	テレメトリ信号	general
デジタルカテイデンカセイヒン	デジタル家庭電化製品	general
デバルダゴウキン	デバルダ合金	general
デルファイホウ	デルファイ法	general
デンアツダブラ	電圧ダブラ	general
デンカイコウカトランジスタ	FET	general
デンカイコウカトランジスタ	電界効果トランジスタ	general
デンキニジュウソウコンデンサ	電気二重層コンデンサ	general
デンキモウカンニュウカ	電気毛管乳化	general
デンクウキョウチョウセイギョ	電空協調制御	general
デンコホウデン	電弧放電	general
デンシトコウニンショウ	電子渡航認証	general
デンシトコウニンショウシステム	電子渡航認証システム	general
デンジコウ	電磁鋼	general
デンジリュウリョウケイ	電磁流量計	general
デンセンカン	電線管	general
デンリュウハッセイキン	電流発生菌	general
デーキンウェストハンノウ	デーキンウェスト反応	general
トウドウキョウヨウヘンアツキ	灯動共用変圧器	general
トウヘンヤマガタコウ	等辺山型鋼	general
トクイチブンカイ	特異値分解	general
トクダタンゾウ	徳田鍛造	general
トソウタチアイテアテ	塗装立会手当	general
トポタクティックハンノウ	トポタクティック反応	general
トマルダイスケ	登丸ダイスケ	general
トランスレイタ	トランスレータ	general
ドウホウメール	同報メール	general
ドケイホソウ	土系舗装	general
ドシツシャスイヘキガタ	土質遮水壁型	general
ナイセンキテイ	内線規程	general
ナノザイリョウ	ナノ材料	general
ニカドデンチ	ニカド電池	general
ニシゼンテッキン	西善鉄筋	general
ニシンルイジョウアルゴリズム	二進累乗アルゴリズム	general
ニジョウケンパ	二乗検波	general
ニタンシツイカイロ	二端子対回路	general
ニチユミツビシフォークリフト	ニチユ三菱フォークリフト	general
ニヘンリョウシュウヘンブンプアルゴリズム	二変量周辺分布アルゴリズム	general
ニワテッキンコウギョウ	丹羽鉄筋興業	general
ヌープコウド	ヌープ硬度	general
ネコガタハイゼンロボット	ネコ型配膳ロボット	general
ネコミミスイッチ	ねこみみスイッチ	general
ネジシメツケカンリホウホウ	ねじ締付け管理方法	general
ネツコウカセイジュシ	熱硬化性樹脂	general
ノウダトソウ	能田塗装	general
ノギチュウゾウ	野木鋳造	general
ハイイコウブンシ	配位高分子	general
ハイセンヨウシャダンキ	配線用遮断器	general
ハイダイナミックレンジゴウセイ	ハイダイナミックレンジ合成	general
ハイニックスハンドウタイ	ハイニックス半導体	general
ハイネツハツデン	廃熱発電	general
ハグルマヒメカタベ	歯車姫片部	general
ハタケンマ	羽田研磨	general
ハッシンキ	発振機	general
ハツエルゴンハンノウ	発エルゴン反応	general
ハツキベルト	歯付ベルト	general
ハトノスソート	鳩の巣ソート	general
ハネグルマシキリュウリョウケイ	羽根車式流量計	general
ハビタットヒョウカニンショウセイド	ハビタット評価認証制度	general
ハメコミゴウセイ	ハメコミ合成	general
ハヤミダイスケ	速見ダイスケ	general
ハラルニンショウ	ハラル認証	general
ハンシャコウソクデンシカイセツ	反射高速電子回折	general
ハンゼツエンセイキバン	半絶縁性基板	general
ハンダズケ	はんだ付け	general
ハンドウタイコショウカイセキ	半導体故障解析	general
バネコウ	ばね鋼	general
パケットシホウダイ	パケットし放題	general
